Ue_[V],Ua_[V],Ie_[A],F_[Hz],φ_[°],|Z|_[Ω],Z_[Ω],R_[Ω],X_[Ω],φH_[°],H_[1],H_[db]
5,4.999999013,3.14159E-05,1,-89.964,,,,,-0.035999995,,
5,4.999998436,3.95503E-05,1.258925412,-89.95467869,,,,,-0.045321305,,
5,4.999997521,4.97909E-05,1.584893192,-89.94294386,,,,,-0.057056136,,
5,4.999996071,6.2683E-05,1.995262315,-89.92817059,,,,,-0.071829406,,
5,4.999993773,7.89131E-05,2.511886432,-89.90957216,,,,,-0.090427836,,
5,4.99999013,9.93457E-05,3.16227766,-89.88615815,,,,,-0.113841846,,
5,4.999984358,0.000125069,3.981071706,-89.85668172,,,,,-0.143318282,,
5,4.999975209,0.000157452,5.011872336,-89.81957319,,,,,-0.180426808,,
5,4.999960709,0.00019822,6.309573445,-89.77285655,,,,,-0.227143454,,
5,4.999937728,0.000249542,7.943282347,-89.71404421,,,,,-0.28595579,,
5,4.999901307,0.000314153,10,-89.64000474,,,,,-0.359995263,,
5,4.999843585,0.000395491,12.58925412,-89.5467963,,,,,-0.453203696,,
5,4.999752105,0.000497884,15.84893192,-89.42945731,,,,,-0.57054269,,
5,4.99960713,0.000626781,19.95262315,-89.28174319,,,,,-0.718256806,,
5,4.999377386,0.000789034,25.11886432,-89.09579596,,,,,-0.904204044,,
5,4.999013332,0.000993263,31.6227766,-88.86172982,,,,,-1.138270183,,
5,4.998436507,0.001250299,39.81071706,-88.56711298,,,,,-1.432887016,,
5,4.99752271,0.001573746,50.11872336,-88.19632201,,,,,-1.803677991,,
5,4.996075465,0.001980655,63.09573445,-87.72974242,,,,,-2.270257577,,
5,4.99378431,0.002492354,79.43282347,-87.14278914,,,,,-2.857210858,,
5,4.990159523,0.00313541,100,-86.40472622,,,,,-3.59527378,,
5,4.984430755,0.003942715,125.8925412,-85.47728557,,,,,-4.522714434,,
5,4.975391547,0.004954583,158.4893192,-84.31313305,,,,,-5.68686695,,
5,4.961165562,0.006219616,199.5262315,-82.85433533,,,,,-7.145664668,,
5,4.93886675,0.00779484,251.1886432,-81.03118917,,,,,-8.968810829,,
5,4.904133297,0.009744109,316.227766,-78.76215902,,,,,-11.23784098,,
5,4.850554831,0.012133086,398.1071706,-75.956309,,,,,-14.043691,,
5,4.769122735,0.015018217,501.1872336,-72.52051278,,,,,-17.47948722,,
5,4.648063952,0.018426887,630.9573445,-68.37453634,,,,,-21.62546366,,
5,4.473761164,0.022328146,794.3282347,-63.47662261,,,,,-26.52337739,,
5,4.23366508,0.026600902,1000,-57.85809236,,,,,-32.14190764,,
5,3.92148932,0.031019222,1258.925412,-51.65578583,,,,,-38.34421417,,
5,3.542934842,0.035281174,1584.893192,-45.12006318,,,,,-44.87993682,,
5,3.117905026,0.039087937,1995.262315,-38.57811264,,,,,-51.42188736,,
5,2.676086034,0.042235724,2511.886432,-32.35864304,,,,,-57.64135696,,
5,2.247822963,0.044662391,3162.27766,-26.71575209,,,,,-63.28424791,,
5,1.856069395,0.04642737,3981.071706,-21.79049984,,,,,-68.20950016,,
5,1.513309279,0.0476549,5011.872336,-17.61755072,,,,,-72.38244928,,
5,1.222912811,0.048481424,6309.573445,-14.15716581,,,,,-75.84283419,,
5,0.982297465,0.049025597,7943.282347,-11.32999573,,,,,-78.67000427,,
5,0.785883627,0.049378525,10000,-9.043061079,,,,,-80.95693892,,
5,0.62711481,0.049605168,12589.25412,-7.205181952,,,,,-82.79481805,,
5,0.39756933,0.049841688,19952.62315,-4.560623294,,,,,-85.43937671,,
5,0.316169612,0.049899937,25118.86432,-3.625455697,,,,,-86.3745443,,
5,0.251327951,0.049936794,31622.7766,-2.881220342,,,,,-87.11877966,,
5,0.199730027,0.049960092,39810.71706,-2.28934664,,,,,-87.71065336,,
5,0.158697933,0.049974809,50118.72336,-1.818849833,,,,,-88.18115017,,
5,0.126081688,0.049984101,63095.73445,-1.444942883,,,,,-88.55505712,,
5,0.100161998,0.049989967,79432.82347,-1.147848728,,,,,-88.85215127,,
5,0.079567395,0.049993669,100000,-0.91181367,,,,,-89.08818633,,
5,0.063205582,0.049996005,125892.5412,-0.724301907,,,,,-89.27569809,,
5,0.050207459,0.049997479,158489.3192,-0.575344766,,,,,-89.42465523,,
5,0.039881944,0.049998409,199526.2315,-0.457018261,,,,,-89.54298174,,
5,0.031679726,0.049998996,251188.6432,-0.36302535,,,,,-89.63697465,,
5,0.025164287,0.049999367,316227.766,-0.288362709,,,,,-89.71163729,,
5,0.019988797,0.0499996,398107.1706,-0.229055355,,,,,-89.77094464,,
5,0.015877713,0.049999748,501187.2336,-0.181945494,,,,,-89.81805451,,
5,0.012612139,0.049999841,630957.3445,-0.144524622,,,,,-89.85547538,,
5,0.01001819,0.0499999,794328.2347,-0.114800078,,,,,-89.88519992,,
5,0.007957737,0.049999937,1000000,-0.091188988,,,,,-89.90881101,,
