Ue_[V],Ua_[V],Ie_[A],F_[Hz],φ_[°],|Z|_[Ω],Z_[Ω],R_[Ω],X_[Ω],φH_[°],H_[1],H_[db]
5,4.999999013,3.14159e-05,1.0,-89.964,159155.07752443827,(100.00007788671262-159155.04610848622j),100.00007788671262,-159155.04610848622,-0.035999995,0.9999998026,-1.714594783894606e-06
5,4.999998436,3.95503e-05,1.258925412,-89.95467869,126421.29136820706,(99.99999978884091-126421.25181790104j),99.99999978884091,-126421.25181790104,-0.045321305,0.9999996872000001,-2.7169467028657456e-06
5,4.999997521,4.97909e-05,1.584893192,-89.94294386,100419.95625706705,(99.99993341099783-100419.90646622101j),99.99993341099783,-100419.90646622101,-0.057056136,0.9999995042000001,-4.306465149642717e-06
5,4.999996071,6.2683e-05,1.995262315,-89.92817059,79766.44385240017,(99.99995021590168-79766.38116943795j),99.99995021590168,-79766.38116943795,-0.071829406,0.9999992142,-6.825374758919522e-06
5,4.999993773,7.89131e-05,2.511886432,-89.90957216,63360.83616028264,(100.00005628004465-63360.757247044676j),100.00005628004465,-63360.757247044676,-0.090427836,0.9999987546,-1.0817413691391476e-05
5,4.99999013,9.93457e-05,3.16227766,-89.88615815,50329.30464026123,(99.99999002107727-50329.205294483014j),99.99999002107727,-50329.205294483014,-0.113841846,0.9999980259999999,-1.714596306971207e-05
5,4.999984358,0.000125069,3.981071706,-89.85668172,39977.93218143585,(99.99973038192421-39977.80711291463j),99.99973038192421,-39977.80711291463,-0.143318282,0.9999968716,-2.7172979648171168e-05
5,4.999975209,0.000157452,5.011872336,-89.81957319,31755.70967659985,(99.99989485088398-31755.552224540625j),99.99989485088398,-31755.552224540625,-0.180426808,0.9999950417999999,-4.3066484770767125e-05
5,4.999960709,0.00019822,6.309573445,-89.77285655,25224.49803248915,(99.99976522159834-25224.29981264108j),99.99976522159834,-25224.29981264108,-0.227143454,0.9999921418,-6.825572613814776e-05
5,4.999937728,0.000249542,7.943282347,-89.71404421,20036.707247677747,(100.0001869675289-20036.457703190663j),100.0001869675289,-20036.457703190663,-0.28595579,0.9999875456,-0.00010817821755687445
5,4.999901307,0.000314153,10.0,-89.64000474,15915.811722313649,(100.00001971309209-15915.497566089283j),100.00001971309209,-15915.497566089283,-0.359995263,0.9999802614,-0.00017144899329738297
5,4.999843585,0.000395491,12.58925412,-89.5467963,12642.512724689057,(99.9999274964162-12642.117228076373j),99.9999274964162,-12642.117228076373,-0.453203696,0.999968717,-0.000271724935755271
5,4.999752105,0.000497884,15.84893192,-89.42945731,10042.499859405003,(100.00003913100393-10042.001962672748j),100.00003913100393,-10042.001962672748,-0.57054269,0.999950421,-0.00043064839801249444
5,4.99960713,0.000626781,19.95262315,-89.28174319,7977.2679771722505,(99.99998304620537-7976.641171759489j),99.99998304620537,-7976.641171759489,-0.718256806,0.999921426,-0.0006825119066177384
5,4.999377386,0.000789034,25.11886432,-89.09579596,6336.862543312455,(100.00001620556047-6336.073459927315j),100.00001620556047,-6336.073459927315,-0.904204044,0.9998754772,-0.0010816586452019289
5,4.999013332,0.000993263,31.6227766,-88.86172982,5033.913475081625,(99.99997795438054-5032.920114507828j),99.99997795438054,-5032.920114507828,-1.138270183,0.9998026663999999,-0.001714187010392772
5,4.998436507,0.001250299,39.81071706,-88.56711298,3999.043428811828,(100.00003813356655-3997.7929333441407j),100.00003813356655,-3997.7929333441407,-1.432887016,0.9996873014000001,-0.0027164902730679864
5,4.99752271,0.001573746,50.11872336,-88.19632201,3177.1327774621827,(100.00000118613134-3175.558641465677j),100.00000118613134,-3175.558641465677,-1.803677991,0.999504542,-0.004304559960708765
5,4.996075465,0.001980655,63.09573445,-87.72974242,2524.417427568153,(100.00000551399458-2522.435994729502j),100.00000551399458,-2522.435994729502,-2.270257577,0.9992150929999999,-0.006820292576128954
5,4.99378431,0.002492354,79.43282347,-87.14278914,2006.1355650120329,(99.99998206322662-2003.641661773258j),99.99998206322662,-2003.641661773258,-2.857210858,0.9987568619999999,-0.010804476592891962
5,4.990159523,0.00313541,100.0,-86.40472622,1594.6877760803213,(99.99999041119642-1591.549278249895j),99.99999041119642,-1591.549278249895,-3.59527378,0.9980319046,-0.01711150350600133
5,4.984430755,0.003942715,125.8925412,-85.47728557,1268.1616601757926,(100.00001147183812-1264.2127961879894j),100.00001147183812,-1264.2127961879894,-4.522714434,0.996886151,-0.027088745817614085
5,4.975391547,0.004954583,158.4893192,-84.31313305,1009.1666644801388,(100.00000556106558-1004.1998583876399j),100.00000556106558,-1004.1998583876399,-5.68686695,0.9950783094,-0.042854807154752095
5,4.961165562,0.006219616,199.5262315,-82.85433533,803.9081512427778,(100.00000386454317-797.6642870667285j),100.00000386454317,-797.6642870667285,-7.145664668,0.9922331123999999,-0.06772567918253003
5,4.93886675,0.00779484,251.1886432,-81.03118917,641.4499848617803,(99.99999363640359-633.6072003630462j),99.99999363640359,-633.6072003630462,-8.968810829,0.98777335,-0.10685390453158927
5,4.904133297,0.009744109,316.227766,-78.76215902,513.1305489296147,(100.00000017566478-503.2921221414804j),100.00000017566478,-503.2921221414804,-11.23784098,0.9808266593999999,-0.16815476611840716
5,4.850554831,0.012133086,398.1071706,-75.956309,412.0963125127441,(100.00000245071458-399.77915190322057j),100.00000245071458,-399.77915190322057,-14.043691,0.9701109662,-0.26357172185015787
5,4.769122735,0.015018217,501.1872336,-72.52051278,332.929002157846,(99.99999824934231-317.5558546585948j),99.99999824934231,-317.5558546585948,-17.47948722,0.953824547,-0.4106301008346328
5,4.648063952,0.018426887,630.9573445,-68.37453634,271.3426310152116,(99.9999978179377-252.2435803795009j),99.9999978179377,-252.2435803795009,-21.62546366,0.9296127904,-0.6339581904275717
5,4.473761164,0.022328146,794.3282347,-63.47662261,223.93260954133854,(100.00000006706512-200.36420239798466j),100.00000006706512,-200.36420239798466,-26.52337739,0.8947522327999999,-0.9659441836206478
5,4.23366508,0.026600902,1000.0,-57.85809236,187.9635510104131,(100.00000085903939-159.1549444303767j),100.00000085903939,-159.1549444303767,-32.14190764,0.846733016,-1.4450701158445136
5,3.92148932,0.031019222,1258.925412,-51.65578583,161.19037414929363,(100.00000091200523-126.42126615403052j),100.00000091200523,-126.42126615403052,-38.34421417,0.784297864,-2.110379355396213
5,3.542934842,0.035281174,1584.893192,-45.12006318,141.7186400883372,(100.00000128595396-100.41998153403964j),100.00000128595396,-100.41998153403964,-44.87993682,0.7085869684,-2.99213678050313
5,3.117905026,0.039087937,1995.262315,-38.57811264,127.91670228080852,(100.0000001853266-79.76642580266265j),100.0000001853266,-79.76642580266265,-51.42188736,0.6235810051999999,-4.1021424451117845
5,2.676086034,0.042235724,2511.886432,-32.35864304,118.38319617771911,(99.99999921825132-63.360723588056224j),99.99999921825132,-63.360723588056224,-57.64135696,0.5352172068,-5.429398655994227
5,2.247822963,0.044662391,3162.27766,-26.71575209,111.95101489304501,(100.00000057837518-50.32921239109301j),100.00000057837518,-50.32921239109301,-63.28424791,0.4495645926,-6.944158016572302
5,1.856069395,0.04642737,3981.071706,-21.79049984,107.69509450998409,(99.99999895248743-39.97791379020316j),99.99999895248743,-39.97791379020316,-68.20950016,0.371213879,-8.607515893652248
5,1.513309279,0.0476549,5011.872336,-17.61755072,104.92100497535405,(100.00000018678973-31.75558608623563j),100.00000018678973,-31.75558608623563,-72.38244928,0.3026618558,-10.38084618671064
5,1.222912811,0.048481424,6309.573445,-14.15716581,103.1322842332354,(99.99999898829083-25.22435833686729j),99.99999898829083,-25.22435833686729,-75.84283419,0.24458256220000002,-12.231490194586494
5,0.982297465,0.049025597,7943.282347,-11.32999573,101.98753928483524,(100.00000016428292-20.036420252111583j),100.00000016428292,-20.036420252111583,-78.67000427,0.196459493,-14.134539621298174
5,0.785883627,0.049378525,10000.0,-9.043061079,101.25859369027326,(99.99999920527145-15.91549418263711j),99.99999920527145,-15.91549418263711,-80.95693892,0.1571767254,-16.072235270093284
5,0.62711481,0.049605168,12589.25412,-7.205181952,100.79594932527998,(100.00000018677419-12.642126523238575j),100.00000018677419,-12.642126523238575,-82.79481805,0.125422962,-18.03245894203691
5,0.39756933,0.049841688,19952.62315,-4.560623294,100.31762969183548,(100.00000000190528-7.976642564837275j),100.00000000190528,-7.976642564837275,-85.43937671,0.079513866,-21.99114260870968
5,0.316169612,0.049899937,25118.86432,-3.625455697,100.20052730727897,(99.99999929834402-6.33607236290388j),99.99999929834402,-6.33607236290388,-86.3745443,0.0632339224,-23.980997561318617
5,0.251327951,0.049936794,31622.7766,-2.881220342,100.12657200219942,(100.00000062343372-5.032921241672853j),100.00000062343372,-5.032921241672853,-87.11877966,0.0502655902,-25.974584275073255
5,0.199730027,0.049960092,39810.71706,-2.28934664,100.07987975682671,(99.99999997953685-3.997791419461779j),99.99999997953685,-3.997791419461779,-87.71065336,0.0399460054,-27.970532872419646
5,0.158697933,0.049974809,50118.72336,-1.818849833,100.05040739625437,(99.99999923936024-3.175558578332811j),99.99999923936024,-3.175558578332811,-88.18115017,0.0317395866,-29.967974682378312
5,0.126081688,0.049984101,63095.73445,-1.444942883,100.03180811434419,(99.99999975996421-2.5224358529273063j),99.99999975996421,-2.5224358529273063,-88.55505712,0.0252163376,-31.96635979507694
5,0.100161998,0.049989967,79432.82347,-1.147848728,100.02007002725166,(99.99999913483913-2.0036420060723272j),99.99999913483913,-2.0036420060723272,-88.85215127,0.0200323996,-33.96534050427342
5,0.079567395,0.049993669,100000.0,-0.91181367,100.01266360346547,(99.99999925752178-1.5915494197762108j),99.99999925752178,-1.5915494197762108,-89.08818633,0.015913479,-35.96469729288471
5,0.063205582,0.049996005,125892.5412,-0.724301907,100.007990638452,(99.99999978962333-1.2642126466837704j),99.99999978962333,-1.2642126466837704,-89.27569809,0.0126411164,-37.96429139298824
5,0.050207459,0.049997479,158489.3192,-0.575344766,100.00504225423046,(100.00000029509941-1.0041998060827642j),100.00000029509941,-1.0041998060827642,-89.42465523,0.0100414918,-39.964035241070995
5,0.039881944,0.049998409,199526.2315,-0.457018261,100.00318210125447,(100.00000081050055-0.7976642630532527j),100.00000081050055,-0.7976642630532527,-89.54298174,0.007976388800000001,-41.9638736997976
5,0.031679726,0.049998996,251188.6432,-0.36302535,100.00200804032146,(100.0000007697708-0.633607246136312j),100.0000007697708,-0.633607246136312,-89.63697465,0.0063359452,-43.96377175286788
5,0.025164287,0.049999367,316227.766,-0.288362709,100.00126601602776,(99.99999950926063-0.5032921181803673j),99.99999950926063,-0.5032921181803673,-89.71163729,0.0050328574,-45.96370749287371
5,0.019988797,0.0499996,398107.1706,-0.229055355,100.00080000640006,(100.00000089277718-0.3997791447577024j),100.00000089277718,-0.3997791447577024,-89.77094464,0.0039977594,-47.9636669377078
5,0.015877713,0.049999748,501187.2336,-0.181945494,100.00050400254018,(99.99999979519006-0.31755585971926675j),99.99999979519006,-0.31755585971926675,-89.81805451,0.0031755426,-49.96364113624442
5,0.012612139,0.049999841,630957.3445,-0.144524622,100.00031800101124,(99.99999986738585-0.25224358505543054j),99.99999986738585,-0.25224358505543054,-89.85547538,0.0025224278,-51.96362511637283
5,0.01001819,0.0499999,794328.2347,-0.114800078,100.0002000004,(99.99999927153492-0.2003642009305323j),99.99999927153492,-0.2003642009305323,-89.88519992,0.002003638,-53.963614805833174
5,0.007957737,0.049999937,1000000.0,-0.091188988,100.00012600015876,(99.99999934876102-0.15915494156086885j),99.99999934876102,-0.15915494156086885,-89.90881101,0.0015915474,-55.96360845092056
