Ue_[V]      | Ua_[V]      | Ie_[A]        | F_[Hz]         | φ_[°]         | |Z|_[Ω]       | Z_[Ω]                | R_[Ω]       | X_[Ω]          | H_[1]        | H_[db]         
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
5.000e+00 V | 5.000e+00 V | 6.280e-06 A   | 2.000e+00 Hz   | -89.900e+00 ° | 796.000e+03 Ω | 1.000-796.000je+03 Ω | 1.000e+03 Ω | -796.000e+03 Ω | 1.000e+00    | -6.860e-06 dB  
5.000e+00 V | 5.000e+00 V | 12.600e-06 A  | 4.000e+00 Hz   | -89.900e+00 ° | 398.000e+03 Ω | 1.000-398.000je+03 Ω | 1.000e+03 Ω | -398.000e+03 Ω | 1.000e+00    | -27.400e-06 dB 
5.000e+00 V | 5.000e+00 V | 18.800e-06 A  | 6.000e+00 Hz   | -89.800e+00 ° | 265.000e+03 Ω | 1.000-265.000je+03 Ω | 1.000e+03 Ω | -265.000e+03 Ω | 1.000e+00    | -61.700e-06 dB 
5.000e+00 V | 5.000e+00 V | 25.100e-06 A  | 8.000e+00 Hz   | -89.700e+00 ° | 199.000e+03 Ω | 1.000-199.000je+03 Ω | 1.000e+03 Ω | -199.000e+03 Ω | 1.000e+00    | -110.000e-06 dB
5.000e+00 V | 5.000e+00 V | 31.400e-06 A  | 10.000e+00 Hz  | -89.600e+00 ° | 159.000e+03 Ω | 1.000-159.000je+03 Ω | 1.000e+03 Ω | -159.000e+03 Ω | 1.000e+00    | -171.000e-06 dB
5.000e+00 V | 5.000e+00 V | 37.700e-06 A  | 12.000e+00 Hz  | -89.600e+00 ° | 133.000e+03 Ω | 1.000-133.000je+03 Ω | 1.000e+03 Ω | -133.000e+03 Ω | 1.000e+00    | -247.000e-06 dB
5.000e+00 V | 5.000e+00 V | 44.000e-06 A  | 14.000e+00 Hz  | -89.500e+00 ° | 114.000e+03 Ω | 1.000-114.000je+03 Ω | 1.000e+03 Ω | -114.000e+03 Ω | 1.000e+00    | -336.000e-06 dB
5.000e+00 V | 5.000e+00 V | 50.300e-06 A  | 16.000e+00 Hz  | -89.400e+00 ° | 99.500e+03 Ω  | 1.000-99.500je+03 Ω  | 1.000e+03 Ω | -99.500e+03 Ω  | 1.000e+00    | -439.000e-06 dB
5.000e+00 V | 5.000e+00 V | 56.500e-06 A  | 18.000e+00 Hz  | -89.400e+00 ° | 88.400e+03 Ω  | 1.000-88.400je+03 Ω  | 1.000e+03 Ω | -88.400e+03 Ω  | 1.000e+00    | -555.000e-06 dB
5.000e+00 V | 5.000e+00 V | 62.800e-06 A  | 20.000e+00 Hz  | -89.300e+00 ° | 79.600e+03 Ω  | 1.000-79.600je+03 Ω  | 1.000e+03 Ω | -79.600e+03 Ω  | 1.000e+00    | -686.000e-06 dB
5.000e+00 V | 5.000e+00 V | 69.100e-06 A  | 22.000e+00 Hz  | -89.200e+00 ° | 72.400e+03 Ω  | 1.000-72.300je+03 Ω  | 1.000e+03 Ω | -72.300e+03 Ω  | 1.000e+00    | -830.000e-06 dB
5.000e+00 V | 5.000e+00 V | 75.400e-06 A  | 24.000e+00 Hz  | -89.100e+00 ° | 66.300e+03 Ω  | 1.000-66.300je+03 Ω  | 1.000e+03 Ω | -66.300e+03 Ω  | 1.000e+00    | -987.000e-06 dB
5.000e+00 V | 5.000e+00 V | 81.700e-06 A  | 26.000e+00 Hz  | -89.100e+00 ° | 61.200e+03 Ω  | 1.000-61.200je+03 Ω  | 1.000e+03 Ω | -61.200e+03 Ω  | 1.000e+00    | -1.160e-03 dB  
5.000e+00 V | 5.000e+00 V | 88.000e-06 A  | 28.000e+00 Hz  | -89.000e+00 ° | 56.800e+03 Ω  | 1.000-56.800je+03 Ω  | 1.000e+03 Ω | -56.800e+03 Ω  | 1.000e+00    | -1.340e-03 dB  
5.000e+00 V | 5.000e+00 V | 94.200e-06 A  | 30.000e+00 Hz  | -88.900e+00 ° | 53.100e+03 Ω  | 1.000-53.100je+03 Ω  | 1.000e+03 Ω | -53.100e+03 Ω  | 1.000e+00    | -1.540e-03 dB  
5.000e+00 V | 5.000e+00 V | 101.000e-06 A | 32.000e+00 Hz  | -88.800e+00 ° | 49.700e+03 Ω  | 1.000-49.700je+03 Ω  | 1.000e+03 Ω | -49.700e+03 Ω  | 1.000e+00    | -1.760e-03 dB  
5.000e+00 V | 5.000e+00 V | 107.000e-06 A | 34.000e+00 Hz  | -88.800e+00 ° | 46.800e+03 Ω  | 1.000-46.800je+03 Ω  | 1.000e+03 Ω | -46.800e+03 Ω  | 1.000e+00    | -1.980e-03 dB  
5.000e+00 V | 5.000e+00 V | 113.000e-06 A | 36.000e+00 Hz  | -88.700e+00 ° | 44.200e+03 Ω  | 1.000-44.200je+03 Ω  | 1.000e+03 Ω | -44.200e+03 Ω  | 1.000e+00    | -2.220e-03 dB  
5.000e+00 V | 5.000e+00 V | 119.000e-06 A | 38.000e+00 Hz  | -88.600e+00 ° | 41.900e+03 Ω  | 1.000-41.900je+03 Ω  | 1.000e+03 Ω | -41.900e+03 Ω  | 1.000e+00    | -2.480e-03 dB  
5.000e+00 V | 5.000e+00 V | 126.000e-06 A | 40.000e+00 Hz  | -88.600e+00 ° | 39.800e+03 Ω  | 1.000-39.800je+03 Ω  | 1.000e+03 Ω | -39.800e+03 Ω  | 1.000e+00    | -2.740e-03 dB  
5.000e+00 V | 5.000e+00 V | 132.000e-06 A | 42.000e+00 Hz  | -88.500e+00 ° | 37.900e+03 Ω  | 1.000-37.900je+03 Ω  | 1.000e+03 Ω | -37.900e+03 Ω  | 1.000e+00    | -3.020e-03 dB  
5.000e+00 V | 5.000e+00 V | 138.000e-06 A | 44.000e+00 Hz  | -88.400e+00 ° | 36.200e+03 Ω  | 1.000-36.200je+03 Ω  | 1.000e+03 Ω | -36.200e+03 Ω  | 1.000e+00    | -3.320e-03 dB  
5.000e+00 V | 5.000e+00 V | 144.000e-06 A | 46.000e+00 Hz  | -88.300e+00 ° | 34.600e+03 Ω  | 1.000-34.600je+03 Ω  | 1.000e+03 Ω | -34.600e+03 Ω  | 1.000e+00    | -3.630e-03 dB  
5.000e+00 V | 5.000e+00 V | 151.000e-06 A | 48.000e+00 Hz  | -88.300e+00 ° | 33.200e+03 Ω  | 1.000-33.200je+03 Ω  | 1.000e+03 Ω | -33.200e+03 Ω  | 1.000e+00    | -3.950e-03 dB  
5.000e+00 V | 5.000e+00 V | 157.000e-06 A | 50.000e+00 Hz  | -88.200e+00 ° | 31.800e+03 Ω  | 1.000-31.800je+03 Ω  | 1.000e+03 Ω | -31.800e+03 Ω  | 1.000e+00    | -4.280e-03 dB  
5.000e+00 V | 5.000e+00 V | 163.000e-06 A | 52.000e+00 Hz  | -88.100e+00 ° | 30.600e+03 Ω  | 1.000-30.600je+03 Ω  | 1.000e+03 Ω | -30.600e+03 Ω  | 999.000e-03  | -4.630e-03 dB  
5.000e+00 V | 5.000e+00 V | 170.000e-06 A | 54.000e+00 Hz  | -88.100e+00 ° | 29.500e+03 Ω  | 1.000-29.500je+03 Ω  | 1.000e+03 Ω | -29.500e+03 Ω  | 999.000e-03  | -5.000e-03 dB  
5.000e+00 V | 5.000e+00 V | 176.000e-06 A | 56.000e+00 Hz  | -88.000e+00 ° | 28.400e+03 Ω  | 1.000-28.400je+03 Ω  | 1.000e+03 Ω | -28.400e+03 Ω  | 999.000e-03  | -5.370e-03 dB  
5.000e+00 V | 5.000e+00 V | 182.000e-06 A | 58.000e+00 Hz  | -87.900e+00 ° | 27.500e+03 Ω  | 1.000-27.400je+03 Ω  | 1.000e+03 Ω | -27.400e+03 Ω  | 999.000e-03  | -5.760e-03 dB  
5.000e+00 V | 5.000e+00 V | 188.000e-06 A | 60.000e+00 Hz  | -87.800e+00 ° | 26.500e+03 Ω  | 1.000-26.500je+03 Ω  | 1.000e+03 Ω | -26.500e+03 Ω  | 999.000e-03  | -6.170e-03 dB  
5.000e+00 V | 5.000e+00 V | 195.000e-06 A | 62.000e+00 Hz  | -87.800e+00 ° | 25.700e+03 Ω  | 1.000-25.700je+03 Ω  | 1.000e+03 Ω | -25.700e+03 Ω  | 999.000e-03  | -6.590e-03 dB  
5.000e+00 V | 5.000e+00 V | 201.000e-06 A | 64.000e+00 Hz  | -87.700e+00 ° | 24.900e+03 Ω  | 1.000-24.900je+03 Ω  | 1.000e+03 Ω | -24.900e+03 Ω  | 999.000e-03  | -7.020e-03 dB  
5.000e+00 V | 5.000e+00 V | 207.000e-06 A | 66.000e+00 Hz  | -87.600e+00 ° | 24.100e+03 Ω  | 1.000-24.100je+03 Ω  | 1.000e+03 Ω | -24.100e+03 Ω  | 999.000e-03  | -7.460e-03 dB  
5.000e+00 V | 5.000e+00 V | 213.000e-06 A | 68.000e+00 Hz  | -87.600e+00 ° | 23.400e+03 Ω  | 1.000-23.400je+03 Ω  | 1.000e+03 Ω | -23.400e+03 Ω  | 999.000e-03  | -7.920e-03 dB  
5.000e+00 V | 5.000e+00 V | 220.000e-06 A | 70.000e+00 Hz  | -87.500e+00 ° | 22.800e+03 Ω  | 1.000-22.700je+03 Ω  | 1.000e+03 Ω | -22.700e+03 Ω  | 999.000e-03  | -8.390e-03 dB  
5.000e+00 V | 4.990e+00 V | 226.000e-06 A | 72.000e+00 Hz  | -87.400e+00 ° | 22.100e+03 Ω  | 1.000-22.100je+03 Ω  | 1.000e+03 Ω | -22.100e+03 Ω  | 999.000e-03  | -8.880e-03 dB  
5.000e+00 V | 4.990e+00 V | 232.000e-06 A | 74.000e+00 Hz  | -87.300e+00 ° | 21.500e+03 Ω  | 1.000-21.500je+03 Ω  | 1.000e+03 Ω | -21.500e+03 Ω  | 999.000e-03  | -9.380e-03 dB  
5.000e+00 V | 4.990e+00 V | 238.000e-06 A | 76.000e+00 Hz  | -87.300e+00 ° | 21.000e+03 Ω  | 1.000-20.900je+03 Ω  | 1.000e+03 Ω | -20.900e+03 Ω  | 999.000e-03  | -9.890e-03 dB  
5.000e+00 V | 4.990e+00 V | 245.000e-06 A | 78.000e+00 Hz  | -87.200e+00 ° | 20.400e+03 Ω  | 1.000-20.400je+03 Ω  | 1.000e+03 Ω | -20.400e+03 Ω  | 999.000e-03  | -10.400e-03 dB 
