Ue_[V],Ua_[V],Ie_[A],F_[Hz],φ_[°],|Z|_[Ω],Z_[Ω],R_[Ω],X_[Ω],φH_[°],H_[1],H_[db],φ_[°].1
5,5.0,3.14e-05,1.0,90.0,159000.0,(100-159000j),100.0,-159000.0,-0.036,1.0,-1.71e-06,-90.0
5,5.0,3.96e-05,1.26,90.0,126000.0,(99.9-126000j),99.9,-126000.0,-0.0453,1.0,-2.72e-06,-90.0
5,5.0,4.98e-05,1.58,89.9,100000.0,(100-100000j),100.0,-100000.0,-0.0571,1.0,-4.31e-06,-89.9
5,5.0,6.27e-05,2.0,89.9,79700.0,(100-79700j),100.0,-79700.0,-0.0718,1.0,-6.83e-06,-89.9
5,5.0,7.89e-05,2.51,89.9,63400.0,(100-63400j),100.0,-63400.0,-0.0904,1.0,-1.08e-05,-89.9
5,5.0,9.93e-05,3.16,89.9,50400.0,(100-50400j),100.0,-50400.0,-0.114,1.0,-1.71e-05,-89.9
5,5.0,0.000125,3.98,89.9,40000.0,(100-40000j),100.0,-40000.0,-0.143,1.0,-2.72e-05,-89.9
5,5.0,0.000157,5.01,89.8,31800.0,(100-31800j),100.0,-31800.0,-0.18,1.0,-4.31e-05,-89.8
5,5.0,0.000198,6.31,89.8,25200.0,(100-25200j),100.0,-25200.0,-0.227,1.0,-6.83e-05,-89.8
5,5.0,0.00025,7.94,89.7,20000.0,(100-20000j),100.0,-20000.0,-0.286,1.0,-0.000108,-89.7
5,5.0,0.000314,10.0,89.6,15900.0,(100-15900j),100.0,-15900.0,-0.36,1.0,-0.000171,-89.6
5,5.0,0.000395,12.6,89.5,12600.0,(100-12600j),100.0,-12600.0,-0.453,1.0,-0.000272,-89.5
5,5.0,0.000498,15.8,89.4,10000.0,(100-10000j),100.0,-10000.0,-0.571,1.0,-0.000431,-89.4
5,5.0,0.000627,20.0,89.3,7980.0,(100-7980j),100.0,-7980.0,-0.718,1.0,-0.000683,-89.3
5,5.0,0.000789,25.1,89.1,6340.0,(100-6340j),100.0,-6340.0,-0.904,1.0,-0.00108,-89.1
5,5.0,0.000993,31.6,88.9,5030.0,(100-5030j),100.0,-5030.0,-1.14,1.0,-0.00171,-88.9
5,5.0,0.00125,39.8,88.6,4000.0,(100-4000j),100.0,-4000.0,-1.43,1.0,-0.00272,-88.6
5,5.0,0.00157,50.1,88.2,3180.0,(100-3180j),100.0,-3180.0,-1.8,1.0,-0.0043,-88.2
5,5.0,0.00198,63.1,87.7,2520.0,(100-2520j),100.0,-2520.0,-2.27,0.999,-0.00682,-87.7
5,4.99,0.00249,79.4,87.1,2010.0,(100-2000j),100.0,-2000.0,-2.86,0.999,-0.0108,-87.1
5,4.99,0.00314,100.0,86.4,1590.0,(100-1590j),100.0,-1590.0,-3.6,0.998,-0.0171,-86.4
5,4.98,0.00394,126.0,85.5,1270.0,(100-1260j),100.0,-1260.0,-4.52,0.997,-0.0271,-85.5
5,4.98,0.00495,158.0,84.3,1010.0,(100-1000j),100.0,-1000.0,-5.69,0.995,-0.0429,-84.3
5,4.96,0.00622,200.0,82.9,804.0,(100-798j),100.0,-798.0,-7.15,0.992,-0.0677,-82.9
5,4.94,0.00779,251.0,81.0,641.0,(100-634j),100.0,-634.0,-8.97,0.988,-0.107,-81.0
5,4.9,0.00974,316.0,78.8,513.0,(100-503j),100.0,-503.0,-11.2,0.981,-0.168,-78.8
5,4.85,0.0121,398.0,76.0,412.0,(100-400j),100.0,-400.0,-14.0,0.97,-0.264,-76.0
5,4.77,0.015,501.0,72.5,333.0,(100-318j),100.0,-318.0,-17.5,0.954,-0.411,-72.5
5,4.65,0.0184,631.0,68.4,271.0,(100-252j),100.0,-252.0,-21.6,0.93,-0.634,-68.4
5,4.47,0.0223,794.0,63.5,224.0,(100-200j),100.0,-200.0,-26.5,0.895,-0.966,-63.5
5,4.23,0.0266,1000.0,57.9,188.0,(100-159j),100.0,-159.0,-32.1,0.847,-1.45,-57.9
5,3.92,0.031,1260.0,51.7,161.0,(100-126j),100.0,-126.0,-38.3,0.784,-2.11,-51.7
5,3.54,0.0353,1580.0,45.1,142.0,(100-100j),100.0,-100.0,-44.9,0.709,-2.99,-45.1
5,3.12,0.0391,2000.0,38.6,128.0,(100-79.8j),100.0,-79.8,-51.4,0.624,-4.1,-38.6
5,2.68,0.0422,2510.0,32.4,118.0,(100-63.4j),100.0,-63.4,-57.6,0.535,-5.43,-32.4
5,2.25,0.0447,3160.0,26.7,112.0,(100-50.3j),100.0,-50.3,-63.3,0.45,-6.94,-26.7
5,1.86,0.0464,3980.0,21.8,108.0,(100-40j),100.0,-40.0,-68.2,0.371,-8.61,-21.8
5,1.51,0.0477,5010.0,17.6,105.0,(100-31.8j),100.0,-31.8,-72.4,0.303,-10.4,-17.6
5,1.22,0.0485,6310.0,14.2,103.0,(100-25.2j),100.0,-25.2,-75.8,0.245,-12.2,-14.2
5,0.982,0.049,7940.0,11.3,102.0,(100-20j),100.0,-20.0,-78.7,0.196,-14.1,-11.3
5,0.786,0.0494,10000.0,9.04,101.0,(100-15.9j),100.0,-15.9,-81.0,0.157,-16.1,-9.04
5,0.627,0.0496,12600.0,7.21,101.0,(100-12.6j),100.0,-12.6,-82.8,0.125,-18.0,-7.21
5,0.398,0.0498,20000.0,4.56,100.0,(100-7.98j),100.0,-7.98,-85.4,0.0795,-22.0,-4.56
5,0.316,0.0499,25100.0,3.63,100.0,(100-6.34j),100.0,-6.34,-86.4,0.0632,-24.0,-3.63
5,0.251,0.0499,31600.0,2.88,100.0,(100-5.03j),100.0,-5.03,-87.1,0.0503,-26.0,-2.88
5,0.2,0.05,39800.0,2.29,100.0,(100-4j),100.0,-4.0,-87.7,0.0399,-28.0,-2.29
5,0.159,0.05,50100.0,1.82,100.0,(100-3.18j),100.0,-3.18,-88.2,0.0317,-30.0,-1.82
5,0.126,0.05,63100.0,1.44,100.0,(100-2.52j),100.0,-2.52,-88.6,0.0252,-32.0,-1.44
5,0.1,0.05,79400.0,1.15,100.0,(100-2j),100.0,-2.0,-88.9,0.02,-34.0,-1.15
5,0.0796,0.05,100000.0,0.912,100.0,(100-1.59j),100.0,-1.59,-89.1,0.0159,-36.0,-0.912
5,0.0632,0.05,126000.0,0.724,100.0,(100-1.26j),100.0,-1.26,-89.3,0.0126,-38.0,-0.724
5,0.0502,0.05,158000.0,0.575,100.0,(100-1j),100.0,-1.0,-89.4,0.01,-40.0,-0.575
5,0.0399,0.05,200000.0,0.457,100.0,(100-0.798j),100.0,-0.798,-89.5,0.00798,-42.0,-0.457
5,0.0317,0.05,251000.0,0.363,100.0,(100-0.634j),100.0,-0.634,-89.6,0.00634,-44.0,-0.363
5,0.0252,0.05,316000.0,0.288,100.0,(100-0.503j),100.0,-0.503,-89.7,0.00503,-46.0,-0.288
5,0.02,0.05,398000.0,0.229,100.0,(100-0.4j),100.0,-0.4,-89.8,0.004,-48.0,-0.229
5,0.0159,0.05,501000.0,0.182,100.0,(100-0.318j),100.0,-0.318,-89.8,0.00318,-50.0,-0.182
5,0.0126,0.05,631000.0,0.145,100.0,(100-0.252j),100.0,-0.252,-89.9,0.00252,-52.0,-0.145
5,0.01,0.05,794000.0,0.115,100.0,(100-0.2j),100.0,-0.2,-89.9,0.002,-54.0,-0.115
5,0.00796,0.05,1000000.0,0.0912,100.0,(100-0.159j),100.0,-0.159,-89.9,0.00159,-56.0,-0.0912
